trade_date,platform,total_rows,success_count,failure_count,success_rate,noise_count,noise_rate,title_coverage,time_coverage,content_coverage
2026-06-03,douyin,54,54,0,1.000,3,0.056,1.000,1.000,1.000
2026-06-03,eastmoney,54,54,0,1.000,4,0.074,1.000,1.000,1.000
2026-06-03,guba,54,54,0,1.000,4,0.074,1.000,1.000,1.000
2026-06-03,sina_finance,51,51,0,1.000,0,0.000,1.000,1.000,1.000
2026-06-03,weibo,54,54,0,1.000,1,0.019,1.000,1.000,1.000
2026-06-03,xueqiu,54,54,0,1.000,0,0.000,1.000,1.000,1.000
2026-06-03,ALL,321,321,0,1.000,12,0.037,1.000,1.000,1.000
