trade_date,platform,total_rows,success_count,failure_count,success_rate,noise_count,noise_rate,title_coverage,time_coverage,content_coverage
2026-06-02,douyin,3,0,3,0.000,3,1.000,1.000,1.000,1.000
2026-06-02,eastmoney,3,0,3,0.000,3,1.000,1.000,1.000,1.000
2026-06-02,guba,8,6,2,0.750,8,1.000,1.000,1.000,1.000
2026-06-02,sina_finance,18,18,0,1.000,0,0.000,1.000,1.000,1.000
2026-06-02,weibo,3,0,3,0.000,3,1.000,1.000,1.000,1.000
2026-06-02,xueqiu,3,0,3,0.000,3,1.000,1.000,1.000,1.000
2026-06-02,ALL,38,24,14,0.632,20,0.526,1.000,1.000,1.000
