month,signals,correct_signals,accuracy,avg_return,win_rate,avg_confidence,bullish_signals,bearish_signals
2024-04,3,2,0.6666666666666666,-0.0016128585495275509,0.0,0.1824307457892842,1,2
2024-05,9,5,0.5555555555555556,0.004167495055767145,0.4444444444444444,0.16351996986156211,4,5
2024-06,5,3,0.6,-0.008001327306533024,0.0,0.14302665392346642,2,3
2024-07,4,2,0.5,-0.008229926872643144,0.5,0.18913661478418176,2,2
2024-08,9,4,0.4444444444444444,0.009437498529739905,1.0,0.16351996986156211,4,5
2024-10,9,5,0.5555555555555556,-0.014320168210164606,0.2222222222222222,0.16351996986156211,4,5
2024-11,9,5,0.5555555555555556,-0.0034233976192451277,0.1111111111111111,0.16351996986156211,4,5
2025-01,9,5,0.5555555555555556,-0.0013672239227601843,0.4444444444444444,0.16351996986156211,4,5
2025-02,5,2,0.4,0.007590343869377333,0.6,0.14302665392346642,2,3
2025-03,5,3,0.6,-0.013622436307684579,0.4,0.14302665392346642,2,3
2025-04,9,4,0.4444444444444444,0.0028388510959998997,1.0,0.16351996986156211,4,5
2025-05,9,5,0.5555555555555556,-0.006370209108127832,0.0,0.16351996986156211,4,5
2025-07,9,5,0.5555555555555556,-0.008460257118305553,0.2222222222222222,0.16351996986156211,4,5
2025-08,9,4,0.4444444444444444,-0.002466434198647567,0.3333333333333333,0.16351996986156211,4,5
2025-09,4,2,0.5,-0.00830047216581363,0.0,0.18913661478418176,2,2
2025-10,9,4,0.4444444444444444,0.006283324074024568,0.7777777777777778,0.16351996986156211,4,5
2025-11,5,3,0.6,-0.001473029436955342,0.4,0.14302665392346642,2,3
2025-12,4,2,0.5,-0.002352283303123399,0.0,0.18913661478418176,2,2
2026-01,9,4,0.4444444444444444,-0.005809284927091495,0.1111111111111111,0.16351996986156211,4,5
2026-04,6,4,0.6666666666666666,-0.0006178132721943497,0.3333333333333333,0.20205415499533144,4,2
2026-05,4,1,0.25,-0.004929986272135394,0.25,0.013925,4,0
