trade_date,platform,symbol,title,summary,post_time,content,url,source_page,fetch_time,is_noise,capture_status,failure_reason,keyword_score,ai_score,score_source
2026-06-03,weibo,600519.SH,"天籁入酒,山河共酿五月黔山叠翠,茅台... 来自 贵州茅台 官微 - 微博","天籁入酒,山河共酿五月黔山叠翠,茅台... 来自 贵州茅台 官微 - 微博 | 天籁入酒,山河共酿五月黔山叠翠,茅台... 来自 贵州茅台 官微 - 微博",2026-06-03,"天籁入酒,山河共酿五月黔山叠翠,茅台... 来自 贵州茅台 官微 - 微博",http://www.baidu.com/link?url=Z3C2_EtMReFZL8g53RYCVhQ0Ve25iHZ7Oja98CHFOgiWsgL9dX4E02lMTYK6BwTp,https://s.weibo.com/weibo?q=%E8%B4%B5%E5%B7%9E%E8%8C%85%E5%8F%B0,2026-06-04T09:55:23.886377,False,success,,0.0,0.0,keyword
2026-06-03,weibo,600519.SH,茅台把贵州山水装进酒里!六款高颜值文化... 来自 贵州茅台 官微...,茅台把贵州山水装进酒里!六款高颜值文化... 来自 贵州茅台 官微... | 茅台把贵州山水装进酒里!六款高颜值文化... 来自 贵州茅台 官微...,2026-06-03,茅台把贵州山水装进酒里!六款高颜值文化... 来自 贵州茅台 官微...,http://www.baidu.com/link?url=bXx1IY_qHs9KlfAQcJzviB_NoH7TLknAO_X16tt14d4bRJlIlndBq4OmRg2E9gUlRQwIZ6bNPAxEIZqxfI47Ca,https://s.weibo.com/weibo?q=%E8%B4%B5%E5%B7%9E%E8%8C%85%E5%8F%B0,2026-06-04T09:55:23.887310,False,success,,0.0,0.0,keyword
2026-06-03,weibo,600519.SH,国酒 茅台 客服 微博 的微博,国酒 茅台 客服 微博 的微博_微博 | 国酒 茅台 客服 微博 的微博_微博,2026-06-03,国酒 茅台 客服 微博 的微博_微博,http://www.baidu.com/link?url=paJ9aUtdrJvaOeF5Pz-fzSoOFFxfOG84j_qYVW9G8_SJTQCSD9hPlqdMSPCokbd9,https://s.weibo.com/weibo?q=%E8%B4%B5%E5%B7%9E%E8%8C%85%E5%8F%B0,2026-06-04T09:55:23.887310,False,success,,0.0,0.0,keyword
2026-06-03,weibo,600519.SH,"诗酒相融物我两忘,是中国文人墨客追求的... 来自 贵州茅台 官微...","诗酒相融物我两忘,是中国文人墨客追求的... 来自 贵州茅台 官微... | 诗酒相融物我两忘,是中国文人墨客追求的... 来自 贵州茅台 官微...",2026-06-03,"诗酒相融物我两忘,是中国文人墨客追求的... 来自 贵州茅台 官微...",http://www.baidu.com/link?url=bXx1IY_qHs9KlfAQcJzviB_NoH7TLknAO_X16tt14d4bRJlIlndBq4OmRg2E9gUlKLabk7EP_b-ZZ09BhgQjsK,https://s.weibo.com/weibo?q=%E8%B4%B5%E5%B7%9E%E8%8C%85%E5%8F%B0,2026-06-04T09:55:23.888402,False,success,,0.0,0.0,keyword
2026-06-03,weibo,600519.SH,与 茅台 风雨同舟的 微博 ,与 茅台 风雨同舟的 微博 _微博 | 与 茅台 风雨同舟的 微博 _微博,2026-06-03,与 茅台 风雨同舟的 微博 _微博,http://www.baidu.com/link?url=GYXfbdOt4EfUsTrW000YoKgzV1aqX7TooDBCg_GpRwLJI9WS5AwZIOU_OIURHzI_,https://s.weibo.com/weibo?q=%E8%B4%B5%E5%B7%9E%E8%8C%85%E5%8F%B0,2026-06-04T09:55:23.888402,False,success,,0.0,0.0,keyword
2026-06-03,weibo,600519.SH,这杯酒 敬父亲父亲的每一句心口不一都... 来自 贵州茅台 官微 - 微博,这杯酒 敬父亲父亲的每一句心口不一都... 来自 贵州茅台 官微 - 微博 | 这杯酒 敬父亲父亲的每一句心口不一都... 来自 贵州茅台 官微 - 微博,2026-06-03,这杯酒 敬父亲父亲的每一句心口不一都... 来自 贵州茅台 官微 - 微博,http://www.baidu.com/link?url=bXx1IY_qHs9KlfAQcJzviB_NoH7TLknAO_X16tt14d4bRJlIlndBq4OmRg2E9gUlKenG4J7uJWvDHjdbNOzU-a,https://s.weibo.com/weibo?q=%E8%B4%B5%E5%B7%9E%E8%8C%85%E5%8F%B0,2026-06-04T09:55:23.889268,False,success,,0.0,0.0,keyword
2026-06-03,weibo,600519.SH,"#T次方音乐与艺术节# 贵州山水为幕布,酱香... 来自 贵州茅台 官微...","#T次方音乐与艺术节# 贵州山水为幕布,酱香... 来自 贵州茅台 官微... | #T次方音乐与艺术节# 贵州山水为幕布,酱香... 来自 贵州茅台 官微...",2026-06-03,"#T次方音乐与艺术节# 贵州山水为幕布,酱香... 来自 贵州茅台 官微...",http://www.baidu.com/link?url=bXx1IY_qHs9KlfAQcJzviB_NoH7TLknAO_X16tt14d4bRJlIlndBq4OmRg2E9gUlWMonQ4PigqfJiWrWpA_Mpq,https://s.weibo.com/weibo?q=%E8%B4%B5%E5%B7%9E%E8%8C%85%E5%8F%B0,2026-06-04T09:55:23.889268,False,success,,0.0,0.0,keyword
2026-06-03,weibo,600519.SH,茅台 900元真不算高的 微博 ,茅台 900元真不算高的 微博 _微博 | 茅台 900元真不算高的 微博 _微博,2026-06-03,茅台 900元真不算高的 微博 _微博,http://www.baidu.com/link?url=llt3j6hSZRgqaswL4vRfF0a7xwmmTg3LIe2Zou5LTDAcx6y1bi77r9NReo4fBbLd,https://s.weibo.com/weibo?q=%E8%B4%B5%E5%B7%9E%E8%8C%85%E5%8F%B0,2026-06-04T09:55:23.890372,False,success,,0.0,0.0,keyword
2026-06-03,weibo,000001.SZ,【招聘快讯】 平安银行股份有限公司,"6年前 - 即日起至5月15日,前往 平安银行 官方 微博 ,参与# 平安银行 新鲜派#活动,获面试直通卡!赢锦鲤大奖(总价值约16666元的1台笔记本电脑、2个月实习房租、3个校招IP周边、4本好书)陪你逐浪而上!编辑:向瑾心审稿:王新权 | 6年前 - 即日起至5月15日,前往 平安银行 官方 微博 ,参与# 平安银行 新鲜派#活动,获面试直通卡!赢锦鲤",2026-06-03,"6年前 - 即日起至5月15日,前往 平安银行 官方 微博 ,参与# 平安银行 新鲜派#活动,获面试直通卡!赢锦鲤大奖(总价值约16666元的1台笔记本电脑、2个月实习房租、3个校招IP周边、4本好书)陪你逐浪而上!编辑:向瑾心审稿:王新权",http://mp.weixin.qq.com/s?src=11&timestamp=1780538154&ver=6761&signature=pPGhbd4PXeFYj6bxOT0oPI0WjIslNc-v3ytROF9eBoOztkOinGDYI1XCvkqhrL**2lYPFR9gehqR6rz0kaODsgmSxtCXtLx2UUVL8Z*5wStJIqiTGbHzuh2-ZHlCAeAe&new=1,https://s.weibo.com/weibo?q=%E5%B9%B3%E5%AE%89%E9%93%B6%E8%A1%8C,2026-06-04T09:55:33.855702,True,success,,0.0,0.0,keyword
2026-06-03,weibo,000001.SZ,【广告迪系列】X 平安银行 信用卡官方 微博 ,2020年8月30日- 【广告迪系列】X 平安银行 信用卡官方 微博 共计13条视频，包括：热8之歌、花絮、花絮1等，UP主更多精彩视频，请关注UP账号。 | 2020年8月30日- 【广告迪系列】X 平安银行 信用卡官方 微博 共计13条视频，包括：热8之歌、花絮、花絮1等，UP主更多精彩视频，请关注UP账号。,2020年8月30日,2020年8月30日- 【广告迪系列】X 平安银行 信用卡官方 微博 共计13条视频，包括：热8之歌、花絮、花絮1等，UP主更多精彩视频，请关注UP账号。,https://www.sogou.com/link?url=hedJjaC291ObqPUCEo1zMuraEuczo-4WCU_PNz9JM0tid0zSwudCqI44m7VhpIer,https://s.weibo.com/weibo?q=%E5%B9%B3%E5%AE%89%E9%93%B6%E8%A1%8C,2026-06-04T09:55:33.855702,False,success,,0.0,0.0,keyword
