trade_date,platform,symbol,title,summary,post_time,content,url,source_page,fetch_time,is_noise,capture_status,failure_reason,keyword_score,ai_score,score_source
2026-06-03,xueqiu,600519.SH,$工业富联(SH601138)$ $贵州茅台(SH 600519 )$ 创业板指 再次超越 沪...,$工业富联(SH601138)$ $贵州茅台(SH 600519 )$ 创业板指 再次超越 沪... | $工业富联(SH601138)$ $贵州茅台(SH 600519 )$ 创业板指 再次超越 沪...,2026-06-03,$工业富联(SH601138)$ $贵州茅台(SH 600519 )$ 创业板指 再次超越 沪...,http://www.baidu.com/link?url=m92hFRBUag3Zm20e2qBBgB6pIyDzV4MntPnlhdYyfunwJc4XtotXu1kvbR4yU1LRqJ1gXYddYhAWNngU9O2Jr_,https://xueqiu.com/S/SH600519,2026-06-04T09:55:26.427499,False,success,,0.0,0.0,keyword
2026-06-03,xueqiu,600519.SH,600519 贵州茅台所有者权益类分析 今天分析 茅台 资产负债表最后一个...,600519 贵州茅台所有者权益类分析 今天分析 茅台 资产负债表最后一个... | 600519 贵州茅台所有者权益类分析 今天分析 茅台 资产负债表最后一个...,2026-06-03,600519 贵州茅台所有者权益类分析 今天分析 茅台 资产负债表最后一个...,http://www.baidu.com/link?url=m92hFRBUag3Zm20e2qBBgB6pIyDzV4MntPnlhdYyfuoayrUoWXaB3-Eb0nJty4-GSmyYkZ6ggSPeAqP40KZ2xK,https://xueqiu.com/S/SH600519,2026-06-04T09:55:26.428501,False,success,,0.0,0.0,keyword
2026-06-03,xueqiu,600519.SH,股票财务指标走势分析( 600519 ,股票财务指标走势分析( 600519 _贵州茅台) 一、股票基本信息 上市时 ... | 股票财务指标走势分析( 600519 _贵州茅台) 一、股票基本信息 上市时 ...,2026-06-03,股票财务指标走势分析( 600519 _贵州茅台) 一、股票基本信息 上市时 ...,http://www.baidu.com/link?url=m92hFRBUag3Zm20e2qBBgB6pIyDzV4MntPnlhdYyfuoOqjPrRzUsJdNTkFw8VdqA61Ge1vop-fFC_UZ8P9kHyK,https://xueqiu.com/S/SH600519,2026-06-04T09:55:26.428501,False,success,,0.0,0.0,keyword
2026-06-03,xueqiu,600519.SH,600519 贵州茅台存货分析(茅台制酒流程) 存货是指企业在日常活动中持...,600519 贵州茅台存货分析(茅台制酒流程) 存货是指企业在日常活动中持... | 600519 贵州茅台存货分析(茅台制酒流程) 存货是指企业在日常活动中持...,2026-06-03,600519 贵州茅台存货分析(茅台制酒流程) 存货是指企业在日常活动中持...,http://www.baidu.com/link?url=m92hFRBUag3Zm20e2qBBgB6pIyDzV4MntPnlhdYyfuoayrUoWXaB3-Eb0nJty4-GIUuthyHEIt_esrzc3kBrQK,https://xueqiu.com/S/SH600519,2026-06-04T09:55:26.429520,False,success,,0.0,0.0,keyword
2026-06-03,xueqiu,600519.SH,"600519 ,5%股息率的白酒龙头,绝对低估了!2024年08月06日 17:00 湖北...","600519 ,5%股息率的白酒龙头,绝对低估了!2024年08月06日 17:00 湖北... | 600519 ,5%股息率的白酒龙头,绝对低估了!2024年08月06日 17:00 湖北...",2024年08月06日 17:00,"600519 ,5%股息率的白酒龙头,绝对低估了!2024年08月06日 17:00 湖北...",http://www.baidu.com/link?url=m92hFRBUag3Zm20e2qBBgB6pIyDzV4MntPnlhdYyfuoQ043qWuzpDC21x8f_pfgAf8usvOr7wBcPdvgm059k_a,https://xueqiu.com/S/SH600519,2026-06-04T09:55:26.429520,False,success,,0.0,0.0,keyword
2026-06-03,xueqiu,600519.SH,"$贵州茅台(SH 600519 )$ 2021年入市的,观察 茅台 好多年了,时机不对 再...","$贵州茅台(SH 600519 )$ 2021年入市的,观察 茅台 好多年了,时机不对 再... | $贵州茅台(SH 600519 )$ 2021年入市的,观察 茅台 好多年了,时机不对 再...",2026-06-03,"$贵州茅台(SH 600519 )$ 2021年入市的,观察 茅台 好多年了,时机不对 再...",http://www.baidu.com/link?url=m92hFRBUag3Zm20e2qBBgB6pIyDzV4MntPnlhdYyfunARHNf6bXX2bkNHfL5_UVtF6fCaQ9RpBksIdKDWP90PK,https://xueqiu.com/S/SH600519,2026-06-04T09:55:26.430495,False,success,,0.0,0.0,keyword
2026-06-03,xueqiu,600519.SH,"$贵州茅台(SH 600519 )$ 茅粉们看到股息率又又又上涨啦,又是开心的一天...","$贵州茅台(SH 600519 )$ 茅粉们看到股息率又又又上涨啦,又是开心的一天... | $贵州茅台(SH 600519 )$ 茅粉们看到股息率又又又上涨啦,又是开心的一天...",2026-06-03,"$贵州茅台(SH 600519 )$ 茅粉们看到股息率又又又上涨啦,又是开心的一天...",http://www.baidu.com/link?url=m92hFRBUag3Zm20e2qBBgB6pIyDzV4MntPnlhdYyfun6-WJFtTBxBrZpyHmiTAGOPNl07yQ969CHuj9CF1qgPa,https://xueqiu.com/S/SH600519,2026-06-04T09:55:26.430495,False,success,,0.2857142857142857,0.2857142857142857,keyword
2026-06-03,xueqiu,600519.SH,$贵州茅台(SH 600519 )$ 分红50元/ - 雪球,$贵州茅台(SH 600519 )$ 分红50元/ - 雪球 | $贵州茅台(SH 600519 )$ 分红50元/ - 雪球,2026-06-03,$贵州茅台(SH 600519 )$ 分红50元/ - 雪球,http://www.baidu.com/link?url=m92hFRBUag3Zm20e2qBBgB6pIyDzV4MntPnlhdYyfumxCKKnllTY5V95NodpzOJQABa2CNAJPHI8Cehy0om3qK,https://xueqiu.com/S/SH600519,2026-06-04T09:55:26.431501,False,success,,0.0,0.0,keyword
2026-06-03,xueqiu,000001.SZ,"上证指数( 000001 )股票股价,行情,新闻,财报,数据 - 雪球","上证指数( 000001 )股票股价,行情,新闻,财报,数据 - 雪球 | 上证指数( 000001 )股票股价,行情,新闻,财报,数据 - 雪球",2026-06-03,"上证指数( 000001 )股票股价,行情,新闻,财报,数据 - 雪球",http://www.baidu.com/link?url=VbjXhwQvktaNRAzAMmsfAUJ9g3RV1DUeyTdD3H6Fnh3aLUUs9e89bDo738K-mzGj,https://xueqiu.com/S/SZ000001,2026-06-04T09:55:48.907015,False,success,,0.0,0.0,keyword
2026-06-03,xueqiu,000001.SZ,上证指数( 000001 ) 股票股价,上证指数( 000001 ) 股票股价_股价行情_财报_数据报告 - 雪球 | 上证指数( 000001 ) 股票股价_股价行情_财报_数据报告 - 雪球,2026-06-03,上证指数( 000001 ) 股票股价_股价行情_财报_数据报告 - 雪球,http://www.baidu.com/link?url=yzA9KTyGoZDtHATfK__jq037eeDIwC4iU0DkkVcp_thrzShxQNS29foIgUyvDDoq,https://xueqiu.com/S/SZ000001,2026-06-04T09:55:48.907979,False,success,,0.0,0.0,keyword
2026-06-03,xueqiu,000001.SZ,平安银行( 000001 ) 股票股价,平安银行( 000001 ) 股票股价_股价行情_财报_数据报告 - 雪球 | 平安银行( 000001 ) 股票股价_股价行情_财报_数据报告 - 雪球,2026-06-03,平安银行( 000001 ) 股票股价_股价行情_财报_数据报告 - 雪球,http://www.baidu.com/link?url=6rJuNNjWTHOvzAa16k4PMCX5miThu2ih6wIL39Geekl1ElMllqpWPBM3MopLsIDn,https://xueqiu.com/S/SZ000001,2026-06-04T09:55:48.907979,False,success,,0.0,0.0,keyword
2026-06-03,xueqiu,000001.SZ,上证指数(SH 000001 )股票股价,上证指数(SH 000001 )股票股价_股价行情_财报_数据报告 - 雪球 | 上证指数(SH 000001 )股票股价_股价行情_财报_数据报告 - 雪球,2026-06-03,上证指数(SH 000001 )股票股价_股价行情_财报_数据报告 - 雪球,http://www.baidu.com/link?url=VbjXhwQvktaNRAzAMmsfAUJ9g3RV1DUeyTdD3H6Fnh4Jw3j6qJc5qO7Axts5IrAz,https://xueqiu.com/S/SZ000001,2026-06-04T09:55:48.908980,False,success,,0.0,0.0,keyword
