trade_date,platform,symbol,title,summary,post_time,content,url,source_page,fetch_time,is_noise,capture_status,failure_reason,keyword_score,ai_score
2026-06-02,weibo,600519.SH,600519.SH weibo fallback record,Fallback row generated when live page parsing returned no rows. | Fallback row generated for weibo when live page parsing returned no rows.,2026-06-02,Fallback row generated for weibo when live page parsing returned no rows.,https://s.weibo.com/weibo?q=600519.SH,https://s.weibo.com/weibo?q=600519.SH,2026-06-02T18:47:54.313619,True,fallback,no rows parsed from live weibo page,0.0,0.0
2026-06-02,weibo,000001.SZ,000001.SZ weibo fallback record,Fallback row generated when live page parsing returned no rows. | Fallback row generated for weibo when live page parsing returned no rows.,2026-06-02,Fallback row generated for weibo when live page parsing returned no rows.,https://s.weibo.com/weibo?q=000001.SZ,https://s.weibo.com/weibo?q=000001.SZ,2026-06-02T18:47:58.788515,True,fallback,no rows parsed from live weibo page,0.0,0.0
2026-06-02,weibo,601318.SH,601318.SH weibo fallback record,Fallback row generated when live page parsing returned no rows. | Fallback row generated for weibo when live page parsing returned no rows.,2026-06-02,Fallback row generated for weibo when live page parsing returned no rows.,https://s.weibo.com/weibo?q=601318.SH,https://s.weibo.com/weibo?q=601318.SH,2026-06-02T18:48:03.155224,True,fallback,no rows parsed from live weibo page,0.0,0.0
