trade_date,platform,symbol,title,summary,post_time,content,url,source_page,fetch_time,is_noise,capture_status,failure_reason,keyword_score,ai_score
2026-03-15,sina_finance,600519.SH,A股公告精选 | 贵州茅台(600519.SH)：股份..,(05-27) A股公告精选 | 贵州茅台(600519.SH)：股份.. | (05-27) A股公告精选 | 贵州茅台(600519.SH)：股份..,2026-05-27,(05-27) A股公告精选 | 贵州茅台(600519.SH)：股份..,https://finance.sina.com.cn/stock/hkstock/hkstocknews/2026-05-27/doc-inhzizpk0662490.shtml,https://finance.sina.com.cn/realstock/company/sh600519/nc.shtml,2026-05-27T21:15:21.474315,False,success,,0.0,0.0
2026-03-15,sina_finance,600519.SH,贵州茅台：完成约30亿元股份回购,(05-27) 贵州茅台：完成约30亿元股份回购 | (05-27) 贵州茅台：完成约30亿元股份回购,2026-05-27,(05-27) 贵州茅台：完成约30亿元股份回购,https://finance.sina.com.cn/jjxw/2026-05-27/doc-inhzizpf1527079.shtml,https://finance.sina.com.cn/realstock/company/sh600519/nc.shtml,2026-05-27T21:15:21.491356,False,success,,0.0,0.0
2026-03-15,sina_finance,600519.SH,【财闻联播】拼多多盘前跌超8%，最新业绩公布！贵州茅台..,(05-27) 【财闻联播】拼多多盘前跌超8%，最新业绩公布！贵州茅台.. | (05-27) 【财闻联播】拼多多盘前跌超8%，最新业绩公布！贵州茅台..,2026-05-27,(05-27) 【财闻联播】拼多多盘前跌超8%，最新业绩公布！贵州茅台..,https://finance.sina.com.cn/stock/zqgd/2026-05-27/doc-inhzivfn0790706.shtml,https://finance.sina.com.cn/realstock/company/sh600519/nc.shtml,2026-05-27T21:15:21.507366,False,success,,0.0,0.0
2026-03-15,sina_finance,600519.SH,贵州茅台(600519.SH)完成30亿元股份回购,(05-27) 贵州茅台(600519.SH)完成30亿元股份回购 | (05-27) 贵州茅台(600519.SH)完成30亿元股份回购,2026-05-27,(05-27) 贵州茅台(600519.SH)完成30亿元股份回购,https://finance.sina.com.cn/stock/hkstock/ggscyd/2026-05-27/doc-inhzivfn9246404.shtml,https://finance.sina.com.cn/realstock/company/sh600519/nc.shtml,2026-05-27T21:15:21.510392,False,success,,0.0,0.0
2026-03-15,sina_finance,600519.SH,5月27日晚间沪深上市公司重大事项公告最新快递,(05-27) 5月27日晚间沪深上市公司重大事项公告最新快递 | (05-27) 5月27日晚间沪深上市公司重大事项公告最新快递,2026-05-27,(05-27) 5月27日晚间沪深上市公司重大事项公告最新快递,https://finance.sina.com.cn/roll/2026-05-27/doc-inhzivfi1640224.shtml,https://finance.sina.com.cn/realstock/company/sh600519/nc.shtml,2026-05-27T21:15:21.514371,False,success,,0.0,0.0
2026-03-15,sina_finance,600519.SH,集体拉升！白酒股底部已现？多家券商看好后市,(05-27) 集体拉升！白酒股底部已现？多家券商看好后市 | (05-27) 集体拉升！白酒股底部已现？多家券商看好后市,2026-05-27,(05-27) 集体拉升！白酒股底部已现？多家券商看好后市,https://finance.sina.com.cn/stock/relnews/cn/2026-05-27/doc-inhzivfn9238996.shtml,https://finance.sina.com.cn/realstock/company/sh600519/nc.shtml,2026-05-27T21:15:21.537664,False,success,,0.0,0.0
2026-03-15,sina_finance,000001.SZ,银行险企“双向奔赴”，部分银行保险业务收入增长50%，..,(05-27) 银行险企“双向奔赴”，部分银行保险业务收入增长50%，.. | (05-27) 银行险企“双向奔赴”，部分银行保险业务收入增长50%，..,2026-05-27,(05-27) 银行险企“双向奔赴”，部分银行保险业务收入增长50%，..,https://finance.sina.com.cn/jjxw/2026-05-27/doc-inhzivfn0759706.shtml,https://finance.sina.com.cn/realstock/company/sz000001/nc.shtml,2026-05-27T21:15:23.561399,False,success,,0.2857142857142857,0.2857142857142857
2026-03-15,sina_finance,000001.SZ,新规落地一年！六大行首席合规官全部落定，招行、华夏、恒..,(05-27) 新规落地一年！六大行首席合规官全部落定，招行、华夏、恒.. | (05-27) 新规落地一年！六大行首席合规官全部落定，招行、华夏、恒..,2026-05-27,(05-27) 新规落地一年！六大行首席合规官全部落定，招行、华夏、恒..,https://finance.sina.com.cn/jinrong/2026-05-27/doc-inhzivfn9197319.shtml,https://finance.sina.com.cn/realstock/company/sz000001/nc.shtml,2026-05-27T21:15:23.564458,False,success,,0.0,0.0
2026-03-15,sina_finance,000001.SZ,平安银行总分行人事调整 涉及零售、风险多部门,(05-27) 平安银行总分行人事调整 涉及零售、风险多部门 | (05-27) 平安银行总分行人事调整 涉及零售、风险多部门,2026-05-27,(05-27) 平安银行总分行人事调整 涉及零售、风险多部门,https://finance.sina.com.cn/money/insurance/bxyx/2026-05-27/doc-inhziqxm1668921.shtml,https://finance.sina.com.cn/realstock/company/sz000001/nc.shtml,2026-05-27T21:15:23.568973,False,success,,-0.2857142857142857,-0.2857142857142857
2026-03-15,sina_finance,000001.SZ,"平安银行：2026年3月末普通股股东总户数为457,6..","(05-27) 平安银行：2026年3月末普通股股东总户数为457,6.. | (05-27) 平安银行：2026年3月末普通股股东总户数为457,6..",2026-05-27,"(05-27) 平安银行：2026年3月末普通股股东总户数为457,6..",https://finance.sina.com.cn/stock/relnews/dongmiqa/2026-05-27/doc-inhzikrs9354860.shtml,https://finance.sina.com.cn/realstock/company/sz000001/nc.shtml,2026-05-27T21:15:23.595690,False,success,,0.0,0.0
2026-03-15,sina_finance,000001.SZ,平安银行：截至2026年3月末普通股股东总户数为457..,(05-27) 平安银行：截至2026年3月末普通股股东总户数为457.. | (05-27) 平安银行：截至2026年3月末普通股股东总户数为457..,2026-05-27,(05-27) 平安银行：截至2026年3月末普通股股东总户数为457..,https://finance.sina.com.cn/stock/relnews/dongmiqa/2026-05-27/doc-inhzikrs9354613.shtml,https://finance.sina.com.cn/realstock/company/sz000001/nc.shtml,2026-05-27T21:15:23.599988,False,success,,0.0,0.0
